ÅU«ÈID,ÁÊ¶R®É¶¡,ÁÊ¶R°Ó«~,ÁÊ¶R¼Æ¶q,°Ó«~¤p­p,¥D­¹¿ï¾Ü,ªþÀ\¿ï¾Ü,ªþÀ\§N¼ö
7445cdd7,2020-12-30 11:39:47,»Äµæ¥Õ¦×Áç,3,900,¥Õ¶º,ºñ¯ù,¼ö
7445cdd7,2020-12-30 11:39:47,¯}¥¬¤l­W¥Ê»]¦×,3,900,µµ¦Ì,¥¤¯ù,¼ö
7445cdd7,2020-12-30 11:39:47,¤û¦×¯»µ·Áç,5,1600,¥Õ¶º,¥©§J¤O,¼ö
7445cdd7,2020-06-19 01:41:20,¯Ü¥ÖÂû»L,2,600,µµ¦Ì,½¯¶V²ù¾L,§N
7445cdd7,2020-06-19 01:41:20,¬õÄT½Þ±Æ,3,900,µµ¦Ì,©@°Ø,¼ö
7445cdd7,2020-06-19 01:41:20,Á¡ÆQ¯NÄJ³½,2,600,µµ¦Ì,ÂfÂc¥Ä,§N
7445cdd7,2020-05-14 21:08:28,¯Ü¥ÖÂû»L,3,900,¥Õ¶º,©@°Ø,¼ö
7445cdd7,2020-08-16 23:16:33,§ù¥ò¤û«n,3,900,µµ¦Ì,¬õ¯ù,§N
7445cdd7,2020-08-16 23:16:33,¾í¥Ä³½±Æ,5,1500,¥Õ¶º,¬c¤l¯ù,¼ö
7445cdd7,2020-08-16 23:16:33,»Äµæ¥Õ¦×Áç,2,600,¥Õ¶º,¥©§J¤O,¼ö
7445cdd7,2020-02-24 13:43:51,´ÔÆQ³½±Æ,3,900,¥Õ¶º,ºñ¯ù,¼ö
7445cdd7,2020-02-24 13:43:51,¯}¥¬¤l­W¥Ê»]¦×,4,1200,¥Õ¶º,²¢´ö,¼ö
7445cdd7,2020-02-24 13:43:51,Á¡ÆQ¯NÄJ³½,4,1200,µµ¦Ì,¥¤¯ù,§N
7445cdd7,2020-02-24 13:43:51,¾í¥Ä³½±Æ,3,900,¥Õ¶º,½¯¶V²ù¾L,§N
7445cdd7,2020-08-23 12:46:09,¤û¦×¯»µ·Áç,1,320,µµ¦Ì,²¢´ö,¼ö
7445cdd7,2020-08-23 12:46:09,®õ¦¡»[­»ª£»¶Âû,1,300,µµ¦Ì,©@°Ø,§N
7445cdd7,2020-08-23 12:46:09,®É³½,4,1280,¥Õ¶º,¥©§J¤O,¼ö
56d41e67,2020-05-26 09:30:19,»Äµæ¥Õ¦×Áç,2,600,µµ¦Ì,¥©§J¤O,¼ö
56d41e67,2020-05-26 09:30:19,®É³½,3,960,µµ¦Ì,¥¤¯ù,¼ö
56d41e67,2020-05-07 06:38:11,¯Ü¥ÖÂû»L,4,1200,µµ¦Ì,¥©§J¤O,¼ö
56d41e67,2020-05-07 06:38:11,¾í¥Ä³½±Æ,3,900,¥Õ¶º,ÂfÂc¥Ä,§N
56d41e67,2020-05-07 06:38:11,Áú°êªwµæ¤gÂû,2,620,¥Õ¶º,ÂfÂc¥Ä,§N
56d41e67,2020-07-21 06:29:21,§ù¥ò¤û«n,3,900,µµ¦Ì,¬õ¯ù,¼ö
56d41e67,2020-07-21 06:29:21,¬õÄT½Þ±Æ,1,300,¥Õ¶º,¬c¤l¯ù,¼ö
56d41e67,2020-08-30 07:11:40,®õ¦¡»[­»ª£»¶Âû,1,300,µµ¦Ì,¥¤¯ù,¼ö
56d41e67,2020-08-30 07:11:40,¯Ü¥ÖÂû»L,4,1200,µµ¦Ì,¬õ¯ù,§N
56d41e67,2020-08-30 07:11:40,Áú°êªwµæ¤gÂû,5,1550,¥Õ¶º,¥©§J¤O,¼ö
56d41e67,2020-08-30 07:11:40,¬õÄT½Þ±Æ,3,900,¥Õ¶º,¬c¤l¯ù,¼ö
56d41e67,2020-08-30 07:11:40,¯}¥¬¤l­W¥Ê»]¦×,1,300,¥Õ¶º,¬õ¯ù,¼ö
56d41e67,2020-12-18 21:46:06,¾í¥Ä³½±Æ,5,1500,¥Õ¶º,ºñ¯ù,§N
56d41e67,2020-12-18 21:46:06,¤û¦×¯»µ·Áç,2,640,µµ¦Ì,¥©§J¤O,¼ö
56d41e67,2020-12-18 21:46:06,®É³½,3,960,µµ¦Ì,¬õ¯ù,¼ö
56d41e67,2020-12-18 21:46:06,®õ¦¡»[­»ª£»¶Âû,4,1200,µµ¦Ì,ºñ¯ù,§N
56d41e67,2020-10-03 05:09:22,¯Ü¥ÖÂû»L,5,1500,µµ¦Ì,²¢´ö,¼ö
56d41e67,2020-10-03 05:09:22,§ù¥ò¤û«n,4,1200,¥Õ¶º,½¯¶V²ù¾L,§N
606c8685,2020-04-27 10:22:46,´ÔÆQ³½±Æ,4,1200,¥Õ¶º,©@°Ø,§N
606c8685,2020-04-27 10:22:46,®õ¦¡»[­»ª£»¶Âû,5,1500,µµ¦Ì,¥©§J¤O,¼ö
606c8685,2020-04-24 23:51:55,»Äµæ¥Õ¦×Áç,2,600,µµ¦Ì,ÂfÂc¥Ä,§N
606c8685,2020-04-24 23:51:55,¯Ü¥ÖÂû»L,5,1500,µµ¦Ì,²¢´ö,¼ö
606c8685,2020-04-24 23:51:55,Áú°êªwµæ¤gÂû,1,310,¥Õ¶º,¥©§J¤O,¼ö
606c8685,2020-04-24 23:51:55,®õ¦¡»[­»ª£»¶Âû,2,600,µµ¦Ì,¬c¤l¯ù,¼ö
ef9c6209,2020-11-13 22:28:02,¯}¥¬¤l­W¥Ê»]¦×,3,900,µµ¦Ì,²¢´ö,¼ö
ef9c6209,2020-11-13 22:28:02,Á¡ÆQ¯NÄJ³½,3,900,¥Õ¶º,¥©§J¤O,¼ö
ef9c6209,2020-11-13 22:28:02,¯Ü¥ÖÂû»L,3,900,¥Õ¶º,½¯¶V²ù¾L,§N
ef9c6209,2020-11-17 03:15:15,¬õÄT½Þ±Æ,2,600,¥Õ¶º,½¯¶V²ù¾L,§N
ef9c6209,2020-11-17 03:15:15,¯}¥¬¤l­W¥Ê»]¦×,3,900,µµ¦Ì,¬c¤l¯ù,¼ö
ef9c6209,2020-11-17 03:15:15,¤û¦×¯»µ·Áç,1,320,¥Õ¶º,½¯¶V²ù¾L,§N
ef9c6209,2020-11-17 03:15:15,»Äµæ¥Õ¦×Áç,5,1500,¥Õ¶º,²¢´ö,¼ö
ef9c6209,2020-11-17 03:15:15,Á¡ÆQ¯NÄJ³½,1,300,µµ¦Ì,¬c¤l¯ù,¼ö
ef9c6209,2020-10-06 03:10:53,¯}¥¬¤l­W¥Ê»]¦×,4,1200,µµ¦Ì,½¯¶V²ù¾L,§N
ef9c6209,2020-06-07 14:50:24,¾í¥Ä³½±Æ,2,600,µµ¦Ì,©@°Ø,§N
ef9c6209,2020-06-07 14:50:24,Áú°êªwµæ¤gÂû,5,1550,¥Õ¶º,ºñ¯ù,§N
ef9c6209,2020-06-07 14:50:24,§ù¥ò¤û«n,2,600,µµ¦Ì,¬c¤l¯ù,¼ö
ef9c6209,2020-06-07 14:50:24,´ÔÆQ³½±Æ,3,900,¥Õ¶º,¥©§J¤O,¼ö
ef9c6209,2020-04-05 12:28:19,®É³½,3,960,¥Õ¶º,¬õ¯ù,§N
ef9c6209,2020-04-05 12:28:19,®õ¦¡»[­»ª£»¶Âû,2,600,¥Õ¶º,½¯¶V²ù¾L,§N
ef9c6209,2020-04-05 12:28:19,¾í¥Ä³½±Æ,2,600,µµ¦Ì,¥©§J¤O,¼ö
ef9c6209,2020-04-05 12:28:19,§ù¥ò¤û«n,1,300,¥Õ¶º,ºñ¯ù,¼ö
ef9c6209,2020-04-05 12:28:19,¤û¦×¯»µ·Áç,1,320,µµ¦Ì,©@°Ø,¼ö
ef9c6209,2020-05-26 13:42:12,®É³½,3,960,¥Õ¶º,½¯¶V²ù¾L,§N
ef9c6209,2020-02-03 22:45:41,¯Ü¥ÖÂû»L,1,300,¥Õ¶º,¬õ¯ù,¼ö
ef9c6209,2020-02-03 22:45:41,¬õÄT½Þ±Æ,5,1500,µµ¦Ì,¬c¤l¯ù,¼ö
ef9c6209,2020-01-25 09:56:26,¾í¥Ä³½±Æ,3,900,µµ¦Ì,¥¤¯ù,§N
ef9c6209,2020-01-25 09:56:26,§ù¥ò¤û«n,2,600,µµ¦Ì,¬c¤l¯ù,¼ö
ef9c6209,2020-01-25 09:56:26,»Äµæ¥Õ¦×Áç,4,1200,¥Õ¶º,¥¤¯ù,¼ö
ef9c6209,2020-01-25 09:56:26,®õ¦¡»[­»ª£»¶Âû,3,900,¥Õ¶º,¬c¤l¯ù,¼ö
ef9c6209,2020-01-25 09:56:26,¯}¥¬¤l­W¥Ê»]¦×,5,1500,¥Õ¶º,ºñ¯ù,§N
01f4d634,2020-12-10 18:55:54,Á¡ÆQ¯NÄJ³½,2,600,¥Õ¶º,ÂfÂc¥Ä,§N
01f4d634,2020-12-10 18:55:54,§ù¥ò¤û«n,4,1200,µµ¦Ì,¬õ¯ù,¼ö
01f4d634,2020-01-24 16:37:34,¾í¥Ä³½±Æ,5,1500,¥Õ¶º,¬õ¯ù,¼ö
01f4d634,2020-01-24 16:37:34,Á¡ÆQ¯NÄJ³½,4,1200,µµ¦Ì,½¯¶V²ù¾L,§N
01f4d634,2020-01-24 16:37:34,»Äµæ¥Õ¦×Áç,2,600,µµ¦Ì,¬c¤l¯ù,¼ö
01f4d634,2020-01-24 16:37:34,¯Ü¥ÖÂû»L,2,600,¥Õ¶º,¥¤¯ù,¼ö
01f4d634,2020-01-24 16:37:34,§ù¥ò¤û«n,2,600,µµ¦Ì,¬c¤l¯ù,¼ö
01f4d634,2020-01-24 14:14:40,®É³½,2,640,¥Õ¶º,¬õ¯ù,§N
01f4d634,2020-01-24 14:14:40,®õ¦¡»[­»ª£»¶Âû,4,1200,µµ¦Ì,ºñ¯ù,¼ö
01f4d634,2020-01-24 14:14:40,¯}¥¬¤l­W¥Ê»]¦×,4,1200,µµ¦Ì,¥©§J¤O,¼ö
01f4d634,2020-06-16 02:06:02,¯}¥¬¤l­W¥Ê»]¦×,3,900,¥Õ¶º,ÂfÂc¥Ä,§N
01f4d634,2020-06-16 02:06:02,§ù¥ò¤û«n,2,600,µµ¦Ì,ºñ¯ù,§N
01f4d634,2020-06-16 02:06:02,Áú°êªwµæ¤gÂû,3,930,¥Õ¶º,©@°Ø,§N
01f4d634,2020-06-16 02:06:02,®õ¦¡»[­»ª£»¶Âû,2,600,¥Õ¶º,¬c¤l¯ù,¼ö
01f4d634,2020-06-16 02:06:02,®É³½,5,1600,¥Õ¶º,¥©§J¤O,¼ö
01f4d634,2020-04-27 18:30:39,®É³½,2,640,¥Õ¶º,ÂfÂc¥Ä,§N
01f4d634,2020-04-27 18:30:39,¾í¥Ä³½±Æ,3,900,¥Õ¶º,¬õ¯ù,§N
01f4d634,2020-04-27 18:30:39,Áú°êªwµæ¤gÂû,5,1550,µµ¦Ì,©@°Ø,§N
01f4d634,2020-02-24 03:51:51,Áú°êªwµæ¤gÂû,2,620,¥Õ¶º,ÂfÂc¥Ä,§N
01f4d634,2020-02-24 03:51:51,¾í¥Ä³½±Æ,4,1200,¥Õ¶º,²¢´ö,¼ö
01f4d634,2020-07-27 10:46:20,´ÔÆQ³½±Æ,4,1200,µµ¦Ì,©@°Ø,¼ö
01f4d634,2020-07-27 10:46:20,»Äµæ¥Õ¦×Áç,2,600,µµ¦Ì,¥¤¯ù,¼ö
01f4d634,2020-07-27 10:46:20,®õ¦¡»[­»ª£»¶Âû,5,1500,µµ¦Ì,©@°Ø,§N
01f4d634,2020-07-27 10:46:20,Áú°êªwµæ¤gÂû,3,930,¥Õ¶º,¥©§J¤O,¼ö
01f4d634,2020-07-27 10:46:20,®É³½,5,1600,µµ¦Ì,¥©§J¤O,¼ö
01f4d634,2020-12-09 10:47:01,§ù¥ò¤û«n,1,300,µµ¦Ì,¬õ¯ù,§N
01f4d634,2020-12-09 10:47:01,¯Ü¥ÖÂû»L,4,1200,µµ¦Ì,²¢´ö,¼ö
01f4d634,2020-12-09 10:47:01,Áú°êªwµæ¤gÂû,3,930,¥Õ¶º,¬c¤l¯ù,¼ö
01f4d634,2020-01-27 22:48:53,¯}¥¬¤l­W¥Ê»]¦×,4,1200,¥Õ¶º,²¢´ö,¼ö
01f4d634,2020-01-27 22:48:53,Áú°êªwµæ¤gÂû,1,310,¥Õ¶º,ºñ¯ù,§N
01f4d634,2020-01-27 22:48:53,®õ¦¡»[­»ª£»¶Âû,2,600,¥Õ¶º,¥©§J¤O,¼ö
01f4d634,2020-01-27 22:48:53,¤û¦×¯»µ·Áç,4,1280,¥Õ¶º,¬õ¯ù,¼ö
01f4d634,2020-01-27 22:48:53,¯Ü¥ÖÂû»L,4,1200,¥Õ¶º,¥©§J¤O,¼ö
e9a5bfbf,2020-05-12 09:36:39,Áú°êªwµæ¤gÂû,4,1240,¥Õ¶º,¬c¤l¯ù,¼ö
e9a5bfbf,2020-01-26 15:39:57,®õ¦¡»[­»ª£»¶Âû,5,1500,µµ¦Ì,¬õ¯ù,§N
e9a5bfbf,2020-01-26 15:39:57,¯}¥¬¤l­W¥Ê»]¦×,2,600,¥Õ¶º,ºñ¯ù,¼ö
e9a5bfbf,2020-01-26 15:39:57,»Äµæ¥Õ¦×Áç,5,1500,µµ¦Ì,²¢´ö,¼ö
e9a5bfbf,2020-05-07 00:30:35,¾í¥Ä³½±Æ,1,300,µµ¦Ì,¬c¤l¯ù,¼ö
e9a5bfbf,2020-05-07 00:30:35,¬õÄT½Þ±Æ,2,600,µµ¦Ì,²¢´ö,¼ö
e9a5bfbf,2020-05-07 00:30:35,¤û¦×¯»µ·Áç,2,640,µµ¦Ì,ÂfÂc¥Ä,§N
e9a5bfbf,2020-06-17 14:49:48,¬õÄT½Þ±Æ,3,900,µµ¦Ì,¥¤¯ù,§N
e9a5bfbf,2020-06-17 14:49:48,Á¡ÆQ¯NÄJ³½,4,1200,¥Õ¶º,¥¤¯ù,¼ö
e9a5bfbf,2020-06-17 14:49:48,®õ¦¡»[­»ª£»¶Âû,2,600,µµ¦Ì,¥©§J¤O,¼ö
e9a5bfbf,2020-06-17 14:49:48,®É³½,2,640,µµ¦Ì,²¢´ö,¼ö
e9a5bfbf,2020-09-05 18:12:31,Áú°êªwµæ¤gÂû,1,310,µµ¦Ì,©@°Ø,§N
e9a5bfbf,2020-12-30 22:43:26,Á¡ÆQ¯NÄJ³½,2,600,¥Õ¶º,ºñ¯ù,¼ö
e9a5bfbf,2020-12-30 22:43:26,¯Ü¥ÖÂû»L,1,300,µµ¦Ì,¥¤¯ù,§N
e9a5bfbf,2020-12-30 22:43:26,´ÔÆQ³½±Æ,2,600,¥Õ¶º,©@°Ø,¼ö
e9a5bfbf,2020-03-11 18:42:39,´ÔÆQ³½±Æ,4,1200,µµ¦Ì,ÂfÂc¥Ä,§N
e9a5bfbf,2020-03-11 18:42:39,¾í¥Ä³½±Æ,4,1200,µµ¦Ì,½¯¶V²ù¾L,§N
e9a5bfbf,2020-03-11 18:42:39,¯Ü¥ÖÂû»L,4,1200,¥Õ¶º,ÂfÂc¥Ä,§N
e9a5bfbf,2020-03-11 18:42:39,¬õÄT½Þ±Æ,5,1500,µµ¦Ì,ºñ¯ù,§N
e9a5bfbf,2020-08-22 15:16:00,®É³½,5,1600,¥Õ¶º,½¯¶V²ù¾L,§N
e9a5bfbf,2020-08-22 15:16:00,®õ¦¡»[­»ª£»¶Âû,3,900,µµ¦Ì,ÂfÂc¥Ä,§N
e9a5bfbf,2020-08-22 15:16:00,Áú°êªwµæ¤gÂû,4,1240,µµ¦Ì,¥¤¯ù,§N
3db26ba4,2020-09-18 08:38:42,¾í¥Ä³½±Æ,2,600,¥Õ¶º,ºñ¯ù,§N
3db26ba4,2020-09-18 08:38:42,Áú°êªwµæ¤gÂû,2,620,¥Õ¶º,ºñ¯ù,§N
3db26ba4,2020-09-18 08:38:42,»Äµæ¥Õ¦×Áç,4,1200,µµ¦Ì,¬c¤l¯ù,¼ö
3db26ba4,2020-09-18 08:38:42,´ÔÆQ³½±Æ,4,1200,µµ¦Ì,½¯¶V²ù¾L,§N
3db26ba4,2020-09-18 08:38:42,¯}¥¬¤l­W¥Ê»]¦×,1,300,µµ¦Ì,¬c¤l¯ù,¼ö
3db26ba4,2020-04-02 06:27:30,¬õÄT½Þ±Æ,1,300,¥Õ¶º,¥¤¯ù,§N
3db26ba4,2020-04-02 06:27:30,®õ¦¡»[­»ª£»¶Âû,5,1500,¥Õ¶º,½¯¶V²ù¾L,§N
3db26ba4,2020-09-03 10:02:32,Áú°êªwµæ¤gÂû,5,1550,µµ¦Ì,¬õ¯ù,§N
3db26ba4,2020-09-03 10:02:32,¯}¥¬¤l­W¥Ê»]¦×,3,900,µµ¦Ì,¥©§J¤O,¼ö
3db26ba4,2020-09-03 10:02:32,Á¡ÆQ¯NÄJ³½,2,600,µµ¦Ì,¥¤¯ù,§N
3db26ba4,2020-09-03 10:02:32,¾í¥Ä³½±Æ,4,1200,µµ¦Ì,½¯¶V²ù¾L,§N
3db26ba4,2020-09-03 10:02:32,®õ¦¡»[­»ª£»¶Âû,2,600,¥Õ¶º,ºñ¯ù,¼ö
3db26ba4,2020-05-16 19:47:20,´ÔÆQ³½±Æ,3,900,µµ¦Ì,©@°Ø,¼ö
3db26ba4,2020-10-22 12:25:19,§ù¥ò¤û«n,1,300,¥Õ¶º,ºñ¯ù,§N
3db26ba4,2020-11-02 13:21:30,¤û¦×¯»µ·Áç,4,1280,µµ¦Ì,¥¤¯ù,¼ö
3db26ba4,2020-08-06 23:29:01,¯Ü¥ÖÂû»L,1,300,¥Õ¶º,²¢´ö,¼ö
3db26ba4,2020-08-06 23:29:01,»Äµæ¥Õ¦×Áç,1,300,¥Õ¶º,¬c¤l¯ù,¼ö
3db26ba4,2020-06-29 18:59:12,¤û¦×¯»µ·Áç,3,960,¥Õ¶º,¬c¤l¯ù,¼ö
5064920c,2020-01-03 03:12:38,¬õÄT½Þ±Æ,4,1200,¥Õ¶º,½¯¶V²ù¾L,§N
5064920c,2020-01-03 03:12:38,»Äµæ¥Õ¦×Áç,4,1200,µµ¦Ì,²¢´ö,¼ö
5064920c,2020-01-03 03:12:38,¯Ü¥ÖÂû»L,2,600,µµ¦Ì,²¢´ö,¼ö
5064920c,2020-01-03 03:12:38,Áú°êªwµæ¤gÂû,3,930,¥Õ¶º,¥©§J¤O,¼ö
5064920c,2020-01-03 03:12:38,¤û¦×¯»µ·Áç,2,640,µµ¦Ì,½¯¶V²ù¾L,§N
5064920c,2020-03-22 03:37:49,Á¡ÆQ¯NÄJ³½,2,600,¥Õ¶º,ÂfÂc¥Ä,§N
5064920c,2020-03-22 03:37:49,Áú°êªwµæ¤gÂû,3,930,µµ¦Ì,©@°Ø,§N
5064920c,2020-03-22 03:37:49,¤û¦×¯»µ·Áç,4,1280,¥Õ¶º,©@°Ø,¼ö
5064920c,2020-12-11 16:56:55,´ÔÆQ³½±Æ,4,1200,¥Õ¶º,²¢´ö,¼ö
5064920c,2020-11-29 11:01:39,´ÔÆQ³½±Æ,4,1200,µµ¦Ì,¥¤¯ù,¼ö
5064920c,2020-04-06 14:41:03,´ÔÆQ³½±Æ,1,300,µµ¦Ì,¥¤¯ù,§N
5064920c,2020-03-03 18:13:13,®É³½,3,960,µµ¦Ì,¥¤¯ù,§N
5064920c,2020-03-03 18:13:13,®õ¦¡»[­»ª£»¶Âû,5,1500,µµ¦Ì,©@°Ø,¼ö
5064920c,2020-03-03 18:13:13,¾í¥Ä³½±Æ,3,900,¥Õ¶º,¥©§J¤O,¼ö
5064920c,2020-03-03 18:13:13,§ù¥ò¤û«n,3,900,µµ¦Ì,¥¤¯ù,¼ö
400dc3fc,2020-08-19 21:25:06,¤û¦×¯»µ·Áç,5,1600,µµ¦Ì,¥¤¯ù,¼ö
400dc3fc,2020-08-19 21:25:06,´ÔÆQ³½±Æ,3,900,µµ¦Ì,ºñ¯ù,¼ö
400dc3fc,2020-08-19 21:25:06,¯Ü¥ÖÂû»L,4,1200,µµ¦Ì,©@°Ø,¼ö
03d2ea56,2020-06-02 13:26:44,¾í¥Ä³½±Æ,3,900,µµ¦Ì,¬c¤l¯ù,¼ö
03d2ea56,2020-06-02 13:26:44,Á¡ÆQ¯NÄJ³½,2,600,µµ¦Ì,¥¤¯ù,§N
03d2ea56,2020-05-10 04:51:23,§ù¥ò¤û«n,1,300,µµ¦Ì,ÂfÂc¥Ä,§N
03d2ea56,2020-05-10 04:51:23,¬õÄT½Þ±Æ,5,1500,µµ¦Ì,¬õ¯ù,§N
03d2ea56,2020-05-10 04:51:23,´ÔÆQ³½±Æ,5,1500,¥Õ¶º,¥©§J¤O,¼ö
03d2ea56,2020-05-10 04:51:23,Áú°êªwµæ¤gÂû,4,1240,µµ¦Ì,¥¤¯ù,§N
03d2ea56,2020-04-14 22:09:10,Áú°êªwµæ¤gÂû,2,620,µµ¦Ì,¬c¤l¯ù,¼ö
03d2ea56,2020-08-19 00:04:38,§ù¥ò¤û«n,2,600,¥Õ¶º,ÂfÂc¥Ä,§N
03d2ea56,2020-12-06 10:25:14,¬õÄT½Þ±Æ,1,300,µµ¦Ì,½¯¶V²ù¾L,§N
03d2ea56,2020-02-07 08:02:49,¾í¥Ä³½±Æ,5,1500,µµ¦Ì,¥¤¯ù,¼ö
03d2ea56,2020-02-07 08:02:49,´ÔÆQ³½±Æ,5,1500,µµ¦Ì,¬õ¯ù,¼ö
03d2ea56,2020-02-07 08:02:49,®É³½,2,640,¥Õ¶º,¬õ¯ù,§N
03d2ea56,2020-05-25 16:35:47,¬õÄT½Þ±Æ,4,1200,µµ¦Ì,ÂfÂc¥Ä,§N
03d2ea56,2020-05-25 16:35:47,¯Ü¥ÖÂû»L,4,1200,µµ¦Ì,½¯¶V²ù¾L,§N
03d2ea56,2020-05-25 16:35:47,¯}¥¬¤l­W¥Ê»]¦×,5,1500,¥Õ¶º,¬õ¯ù,¼ö
a3530022,2020-04-02 18:48:22,´ÔÆQ³½±Æ,1,300,µµ¦Ì,ºñ¯ù,§N
a3530022,2020-04-02 18:48:22,¤û¦×¯»µ·Áç,1,320,¥Õ¶º,©@°Ø,¼ö
a3530022,2020-04-02 18:48:22,¯}¥¬¤l­W¥Ê»]¦×,1,300,¥Õ¶º,ÂfÂc¥Ä,§N
a3530022,2020-07-17 12:40:15,¬õÄT½Þ±Æ,5,1500,µµ¦Ì,½¯¶V²ù¾L,§N
a3530022,2020-07-17 12:40:15,§ù¥ò¤û«n,4,1200,µµ¦Ì,¬c¤l¯ù,¼ö
a3530022,2020-07-17 12:40:15,®É³½,3,960,¥Õ¶º,¥©§J¤O,¼ö
a3530022,2020-03-01 03:35:01,»Äµæ¥Õ¦×Áç,4,1200,µµ¦Ì,©@°Ø,§N
